Name,County,State
City of Waterford,oakland,michigan
"The City of Sugar Land, Texas – City Government",texas,missouri
"City of Little Rock, AR - Government",pulaski,arkansas
"City of Benbrook, Texas",texas,missouri
"City of Washington, Missouri Government",washington,missouri
Davis City,davis,iowa
City of Sheboygan - City Hall,hall,georgia
City of Winter Park - Government,park,montana
Dawson County Texas,dawson,georgia
"City of Hartford, Alabama",geneva,alabama
City of Cheney,spokane,washington
"Clear Creek County, Colorado",creek,oklahoma
City of New London,new london,connecticut
Baltimore City Health Department,baltimore,maryland
City of Dunwoody - Government,dekalbm,georgia
City Of Punta Gorda - Government,charlotte,florida
"City of Granite Shoals, Texas",texas,missouri
"City Of Gahanna, Ohio - Government",ohio,kentucky
Jackson County Health Department - MO,jackson,mississippi
Gallatin County Health Department,gallatin,illinois
City of Jacksonville Texas,texas,missouri
City of Gillette (Government),campbell,wyoming
"Dayton, Ohio - City Government",ohio,kentucky
City of Westfield - Government,union,new jersey
Pennsylvania Department of Transportation (PennDOT),MANUALLY TAG
"City of Irving,  Texas - City Hall",texas,missouri
City of Maryland Heights Government,st. louis county,missouri
City of Danbury,fairfield,connecticut
"City of Dardenne Prairie, MO - Government",st. charles,missouri
Tooele Health,tooele,utah
The City of Daytona Beach Government,volusia,florida
St. Joseph County Department of Health,st. joseph,indiana
"City of Fremont Hills, MO",fremont,idaho
Painesville City,lake,ohio
Cowlitz County Health & Human Services,cowlitz,washington
City of Cotati,sonoma,california
Avon Board of Health,lorain,ohio
"Town of Warrenton, VA - Government",fauquier,virginia
Talbot County Online,talbot,maryland
City of Laurel,laurel,kentucky
Sumter County Health Department,sumter,alabama
Polk County Health Center,polk,missouri
Chambers County Public Health Department,chambers,texas
"Tazewell County, Virginia",tazewell,virginia
Gilbert Town Hall,hall,georgia
Perry County Health Department - Missouri,perry,mississippi
Vineland City,cumberland,new jersey
Kankakee County Health Department,kankakee,illinois
Jackson-Madison County Regional Health Department,madison,tennessee
"City of Jacksonville, Alabama",calhoun,alabama
Sacramento County - Government,sacramento,california
"City of Kilgore, Texas",texas,missouri
"City of Kerrville, TX - City Hall",hall,georgia
"City of Cathedral City, CA - Municipal Government",riverside,california
"Syracuse City, Utah",utah,utah
Port Jervis Mayor,orange,new york
"City of Mankato, Minnesota Government",blue earth,minnesota
City of Elizabeth NJ - City Hall,hall,georgia
Stark County Health Department,stark,north dakota
"City of Washington, NC",beaufort,north carolina
Harrison County Home & Public Health,harrison,iowa
Shasta County Health and Human Services,shasta,california
City and County of San Francisco - Government,san francisco,california
Ohio Department of Transportation District 12 Cleveland,ohio,kentucky
City Of Fort Morgan,morgan,indiana
"City of Hanover, Minnesota",wright,minnesota
Roosevelt City,roosevelt,montana
City of Mountainburg,crawford,arkansas
"Medford, MA, USA",middlesex,massachusetts
The City of Cleburne,cleburne,alabama
City of Fairview Park,park,montana
"City of Melbourne, FL - Government",brevard,florida
"Crow Wing County, MN Government",crow wing,minnesota
Brown County Health & Human Services - Public Health Division,brown,wisconsin
Kenosha County Government,kenosha,wisconsin
Kanawha-Charleston Health Department,kanawha,west virginia
City of Kirby,bexar,texas
Los Alamos County,los alamos,new mexico
Fremont County Department of Public Health & Environment - Colorado,fremont,idaho
City of Lakeport,lake,california
Valencia County Admin and Government,valencia,new mexico
Oconto County - A Place For You,oconto,wisconsin
"City of Hillsboro, KS",marion,kansas
City of La Vernia,wilson,texas
City of Bath,bath,kentucky
Columbia/Boone County Department of Public Health and Human Services,boone,missouri
Anne Arundel County Department of Health,anne arundel,maryland
Will County Health Department,will,illinois
City of Riviera Beach,palm beach,florida
Lamar County Mississippi,mississippi,missouri
Minnesota Department of Health,MANUALLY TAG
"City of Miamisburg, Ohio - Municipal Government",ohio,kentucky
City of The Colony - Texas Government,texas,missouri
City of Green River,green,kentucky
Winnebago County Health Department,winnebago,wisconsin
City of Meriden Health & Human Services Department,new haven,connecticut
Carroll County Government Maryland,carroll,virginia
North Richland Hills City Hall,richland,south carolina
City of Issaquah - Government,king,washington
Logan County Department of Public Health,logan,north dakota
City of Orem Government,utah,utah
The City of Traverse City,traverse,minnesota
"Austin Transportation Department, City of Austin",austin,texas
City of South Bend - Municipal Government,st. joseph,indiana
"City of Jacksonville, Florida - Government",duval,florida
City of Haslet,tarrant,texas
"City of Glenwood Springs, Colo. Government",garfield,colorado
City of Gig Harbor,pierce,washington
City of Grosse Pointe Park,park,montana
Flagler County Government,flagler,florida
City of Hahira,lowndes,georgia
City of Meadows Place,fort bend,texas
City of Mason City,mason,washington
City of Canyon Lake – Government,lake,illinois
City of Indian Wells- Government,riverside,california
"Three Rivers Public Health Department, Nebraska",st. joseph,michigan
Otero County Health Department,otero,new mexico
Morrison County Government Center,morrison,minnesota
Bourbon County Kansas,bourbon,kentucky
Summit County Public Health,summit,colorado
Philadelphia Department of Public Health,philadelphia,pennsylvania
"City of Jackson, MN - Government",jackson,minnesota
City of Pittston,luzerne,pennsylvania
City of Mayfield Heights,cuyahoga,ohio
Virginia Department of Health,MANUALLY TAG
City of Fairhope,baldwin,alabama
"City of Mesa, Arizona Government",maricopa,arizona
"City Offices of Harrisburg, South Dakota",dakota,minnesota
City of Levelland Texas-City Hall,hall,georgia
City of Genoa,douglas,nevada
City of Chandler,maricopa,arizona
Bucks County Government,bucks,pennsylvania
"City of Pataskala, Ohio",ohio,kentucky
City of Poughkeepsie,dutchess,new york
"City of Denison, Texas Government",texas,missouri
City of Blue Island Illinois,island,washington
Fresno FAX,fresno,california
City of Seward,seward,kansas
"City Government of Prescott, Arizona",yavapai,arizona
City of Tiffin Government,seneca,ohio
"County of Nevada, CA",nevada,california
County of Volusia,volusia,florida
City of Imperial,imperial,california
Spokane County,spokane,washington
LADOT Official,los angeles,california
"City of Reading, Ohio",ohio,kentucky
The City of Dora,walker,alabama
City of Eaton Rapids,eaton,michigan
"City of Tracy, Minnesota",lyon,minnesota
Wabasha County Public Health,wabasha,minnesota
City of Ephrata Government,grant,washington
"City of Fort Smith, Arkansas",arkansas,arkansas
County of Kaua'i,kauai,hawaii
"City of Longmont, Colorado Government",colorado,texas
Trinity Metro,trinity,california
"The City of Madisonville, KY",hopkins,kentucky
Washington County Arkansas,washington,kansas
"City of Alexandria, Kentucky",campbell,kentucky
"City of Llano, Texas - City Hall",texas,missouri
City of Desloge,st. francois,missouri
"City of Bridgeport, CT - Government",fairfield,connecticut
New York City Council,york,pennsylvania
"City of Riverside, CA - City Government",riverside,california
Lake Cumberland District Health Department,lake,illinois
"City of Donna, TX Government",hidalgo,texas
City of Malden (Official),middlesex,massachusetts
"City of Fultondale, Alabama",jefferson,alabama
"City of Republic, Missouri",marquette,michigan
City of Buena Park - City Hall,hall,georgia
City of San Juan,san juan,washington
"Winnebago County, Wisconsin Sheriff’s Office",winnebago,wisconsin
"City of Concord, New Hampshire",hampshire,west virginia
City of Decatur  GA- Government,decatur,kansas
Berrien County Michigan - Government,berrien,michigan
Washington State Department of Health,washington,kansas
"City of Kansas City, Mo. Government",jackson,missouri
Tulare County Health & Human Services Agency,tulare,california
"City of Bay City, TX USA",bay,michigan
City of Hillsdale,hillsdale,michigan
City of Proctor,contra costa,california
City of Findlay- Mayor's Office,hancock,ohio
"City of Monroe, Wisconsin",green,wisconsin
Clatsop County,clatsop,oregon
Lycoming County Government,lycoming,pennsylvania
City of Westbrook,cumberland,maine
Newton County Ga Government,newton,arkansas
"Clay County, FL Government",clay,tennessee
"San Juan County, Utah",san juan,washington
City of Idalou,lubbock,texas
"Pottawatomie County, Kansas",pottawatomie,oklahoma
Grant County KY Fiscal Court,grant,arkansas
City of White Settlement,white,indiana
City of Erlanger,kenton,kentucky
City of Nekoosa,wood,wisconsin
"City of Amarillo, Texas",texas,missouri
City of Oklahoma City - Government,oklahoma,oklahoma
Grayson County Health Department,grayson,virginia
Panama City Beach-Government,bay,florida
Illinois Department of Public Health (IDPH),MANUALLY TAG
City of Livermore City Hall,hall,georgia
City of Keller Government,keller,texas
Jefferson County Colorado Government,jefferson,ohio
Peoria City/County Health Department,peoria,illinois
City of South Lake Tahoe Government,lake,illinois
Webster County,webster,iowa
City of Caseville,huran,michigan
City of Grapevine Texas Government,texas,missouri
Public Health - Seattle & King County,king,texas
"Greenville County,SC",greenville,south carolina
"Franklin County, KS - Government",franklin,florida
City of Covina,los angeles,california
Graham County Local Government,graham,arizona
City of Hornell - City Hall,hall,georgia
"Harney County, Oregon",harney,oregon
"Lake County, IL Government",lake,illinois
City of Madison IN - City Hall,madison,tennessee
New Brunswick City Government,brunswick,virginia
Howard County Health Department,howard,iowa
"Tippecanoe County, Indiana",tippecanoe,indiana
Merced County Department of Public Health,merced,california
City of Joplin Health Department,jasper,missouri
LaPorte County Government,laporte,indiana
"Adams County Government, CO",adams,pennsylvania
City of Champlin,hennepin,minnesota
"Hinsdale County, Colorado",hinsdale,colorado
City of Villa Rica,carroll,georgia
"Evans County, GA",evans,georgia
City of Chetek,barron,wisconsin
"City of Marietta, Ga., Government",cobb,georgia
"City of Killeen, Texas - Government",texas,missouri
"City of Oconto, WI",oconto,wisconsin
City of Fort Myers - Government,lee,florida
County of York PA,york,pennsylvania
"City of Phoenix, AZ USA",maricopa,arizona
"City of Warren, PA",warren,pennsylvania
City of Arcata,humboldt,california
"City of Bexley, Ohio",ohio,kentucky
Town of Huachuca City,cochise,arizona
City of Butler Missouri,butler,missouri
City of Bloomingdale,passaic,new jersey
City Of Cabot,lonoke,arkansas
"Cambridge City Hall, Minnesota",isanti,minnesota
City of Xenia Government,greene,ohio
Idaho Department of Health and Welfare,MANUALLY TAG
DuPage County Board,dupage,illinois
City of North Kansas City,clay,missouri
"City of Bayard, Nebraska - Local Government",morrill,nebraska
"Nash County, NC",nash,north carolina
City of Somerton (Official),yuma,arizona
"Walker County, GA Government",walker,texas
"City of Peculiar, Missouri",cass,missouri
"City of Ithaca, Michigan",gratiot,michigan
City of Hermosa Beach,los angeles,california
Southern Seven Health Department,moore,north carolina
"City of Seven Hills, OH",cuyahoga,ohio
City of Kewaunee,kewaunee,wisconsin
City of Hogansville,troup,georgia
City of Temple City - Government,los angeles,california
Fairfax County Health Department,fairfax,virginia
"City of Monmouth, Oregon - Government",oregon,missouri
City of Maplewood,ramsey,minnesota
City of Crestwood,cook,ilinois
"City of Springfield, Nebraska",sarpy,nebraska
"City of North Mankato, Minnesota",nicollet,minnesota
City of Euharlee,bartow,georgia
Columbia County,columbia,pennsylvania
Barron County Public Health,barron,wisconsin
Harrison County Health Department - Ohio,ohio,kentucky
City of Anaheim- Municipal Government,orange,california
NC Department of Health and Human Services,MANUALLY TAG
"Montgomery County, Tennessee",montgomery,tennessee
"Marion County, Oregon",marion,indiana
"City of Johns Creek, Georgia - Government",fulton,georgia
Johnston County Government,johnston,north carolina
Town of Rome City,floyd,georgia
City of Newport Beach - City Hall,hall,georgia
Eau Claire City-County Health Department,eau claire,wisconsin
City of La Marque,galveston,texas
"City of Hurst, TX - City Hall",hall,georgia
"Orange County, Florida Government",orange,new york
West Lafayette - City Government,lafayette,mississippi
City of Shafter,kern,california
City of Saco Government,york,maine
West Haven City Hall,hall,georgia
"City of Richwood, Texas",texas,missouri
Clark County Health Department,clark,illinois
City of Howard Lake,lake,illinois
Elkhorn Logan Valley Public Health Department,logan,north dakota
"Orange County, NY Department of Health",orange,new york
Morris County Government,morris,kansas
Kalispell City Government,flathead,montana
"Liberty County, Georgia Government",liberty,florida
Wisconsin Department of Transportation,MANUALLY TAG
Cuyahoga County Board of Health,cuyahoga,ohio
MaineDOT,MANUALLY TAG
City of Thibodaux - Municipal Government,lafourche,louisiana
City of Parma Heights,cuyahoga,ohio
City of Arkadelphia,clark,arkansas
City of Isanti,isanti,minnesota
City of Perry Government,perry,mississippi
City of North Royalton OH,cuyahoga,ohio
City of Prestonsburg,floyd,kentucky
St. Croix County,st. croix,wisconsin
City of Chubbuck,bannock,idaho
City of Adelanto,san bernardino,california
"City of Ottumwa, Iowa - City Government",iowa,wisconsin
"City of Bloomfield, NM",san juan,new mexico
Pondera County Health Department,pondera,montana
Benton County Sheriff's Office,benton,tennessee
Pleasant Grove City,utah,utah
City of Jasper,jasper,iowa
California Department of Public Health,MANUALLY TAG
"City of Manassas, VA - Government",prince william,virginia
"Denton County, Texas",denton,texas
"City Government Page of La Habra, CA",page,iowa
Weber County,weber,utah
Carteret County Government,carteret,north carolina
Midvale City Government,salt lake,utah
"City of Springfield, Minnesota",greene,minnesota
City of Bremerton - Government,kitsap,washington
"City of Poplarville, Mississippi",mississippi,missouri
"Bexar County, Texas",bexar,texas
City Of Lincolnton,lincoln,north carolina
City of Plymouth,plymouth,iowa
"City of Huntsville, TX - Government",walker,texas
City of Roseburg Government,douglas,oregon
Fond du Lac County,fond du lac,wisconsin
"City of Covington, WA - Government",king,washington
Hot Springs County Public Health,hot springs,wyoming
Lumpkin County Government,lumpkin,georgia
Glasscock County,glasscock,texas
City of Buckhannon,upshur,west virginia
"City of Edcouch, Texas",texas,missouri
City of Wentzville MO – Government,st. charles,missouri
City of Florissant,st. louis county,missouri
"City of Oldsmar, FL - Government",pinellas,florida
City of Gaithersburg Government,montgomery,maryland
City of York,york,pennsylvania
Pueblo County,pueblo,colorado
"City of Richmond, Indiana",indiana,pennsylvania
Kewaunee County,kewaunee,wisconsin
Walworth County Department of Health and Human Services,walworth,wisconsin
City of Davis - Oklahoma,oklahoma,oklahoma
"City of Slayton, MN",murray,minnesota
"City of Greenwood, MO Government",jackson,missouri
City of Minneapolis Government,anoka,minnesota
"City of Suffolk, VA - Municipal Government",suffolk,virginia
Erie County Health Department,erie,pennsylvania
Fayette County Health Department,fayette,iowa
Lake County Government,lake,illinois
Barton County Health Department,barton,missouri
Montgomery County Health Department MO,montgomery,north carolina
"Prince William County Government, Virginia",prince william,virginia
Twin Falls City Hall,hall,georgia
"City of Lincoln, Local Government",lincoln,missouri
Marathon County Sheriff's Office,marathon,wisconsin
"Canyon County, Idaho",canyon,idaho
Northeast Nebraska Public Health Department,MANUALLY TAG
City of Troy Government,oakland,michigan
Union County Government,union,new mexico
City of Fort Walton Beach Public Info,walton,georgia
"Clackamas County, Oregon",oregon,missouri
City of Rosenberg - Government,fort bend,texas
City of Mt. Juliet,wilson,tennessee
Town of Chase City,chase,nebraska
City of Caldwell,caldwell,kentucky
"City of Monroe, Ohio",ohio,kentucky
City of Copperas Cove - Municipal Government,copperas,texas
Farmers Branch City Hall,hall,georgia
Yuba County,yuba,california
Gloucester County NJ,gloucester,virginia
"City of Aiken, South Carolina Government",aiken,sourth carolina
Palm Springs City Government,riverside,california
City of Key West -- Government,monroe,florida
City of Tulsa Gov,tulsa,oklahoma
Sunset City Corporation,davis,utah
City of Westminster,jefferson,alabama
City of Irondale,jefferson,alabama
"City of Hermitage, PA",merce,pennsylvania
Hull Board of Health,plymouth,massachusetts
Housing Authority of Cook County,cook,minnesota
Currituck County Government,currituck,north carolina
"City of Springfield, TN - Government",robertson,tennessee
Howard County Iowa,iowa,wisconsin
Valley County Idaho,valley,nebraska
Niobrara County Public Health,niobrara,wyoming
Lincoln County MO Health Department,lincoln,oregon
Alachua County,alachua,florida
Lewis and Clark Public Health,lewis,washington
"Cave City, Arkansas",arkansas,arkansas
City of Pascagoula -- Government,jackson,mississippi
City of Hartselle - Local Government,morgan,alabama
"City of Warsaw, IN",kosciusko,indiana
Orange County Government,orange,new york
"City of Tuttle, OK - Government",grady,oklahoma
"City of Moorhead, Minnesota",clay,minnesota
County of Hoke,hoke,north carolina
City of Glen Cove Office of the Mayor,nassau,new york
"City of Eagan, Minnesota - Government",dakota,minnesota
Lee County Government,lee,iowa
"Jackson County, Mississippi Government",mississippi,missouri
Washington Ozaukee Public Health Department,washington,kansas
Rush County Health Department,rush,indiana
"City of La Villa, TX",hidalgo,texas
"Campbell County, Wyoming Government",wyoming,west virginia
"City of Farmington, New Mexico",san juan,new mexico
City of Choteau,teton,montana
New Jersey Department of Transportation,jersey,illinois
City of Ankeny - Government,polk,iowa
City of Santee,san diego,california
"City of Sanford, FL Government",seminole,florida
Cullman County Commission,cullman,alabama
Atchison County,atchison,kansas
City of Montevallo,shelby,alabama
"Middlesex County, Virginia",middlesex,virginia
"City of Visalia, CA",tulare,california
"City of Riverside, Ohio",ohio,kentucky
"City of Crystal Falls, Michigan",iron,michigan
City of Vacaville Government,solano,california
Navajo County Government,navajo,arizona
City of Reno Government,reno,kansas
City of Flint,genesee,michigan
El Paso County,el paso,colorado
Davie County Government,davie,north carolina
City of Norton Shores,norton,kansas
"City of Blue Grass, Iowa",iowa,wisconsin
City of Clyde,haywood,north carolina
City of Braidwood,will,illinois
Franklin County Board of Commissioners,franklin,florida
"City of Smyrna, GA Government",cobb,georgia
"City of Carrollton, IL",greene,illinois
Virginia Beach City Government,virginia beach,virginia
"Royal Oak, MI - City Hall",hall,georgia
"City of Twinsburg, Ohio - Government",ohio,kentucky
City of Mountain Home Idaho,elmore,idaho
City of Cuyahoga Falls City Hall,hall,georgia
American Fork City,utah,utah
City of Kenner Government,jefferson,louisiana
City of Sierra Vista,sierra,new mexico
City of Bethany,sussex,delaware
Vermont Department of Health,MANUALLY TAG
Mohave County Department of Public Health,mohave,arizona
City of Tell City,perry,indiana
Fort Worth City Hall (City of Fort Worth),hall,georgia
"City of Van, Texas",texas,missouri
Tippecanoe County Health Department,tippecanoe,indiana
"City of Madison, Alabama City Hall",hall,georgia
Jasper County Health Department,jasper,iowa
"City of Charleston, SC Government",perry,south carolina
"City of Hot Springs, SD - Government",fall river,south dakota
Arizona Department of Transportation,MANUALLY TAG
City of Azusa,los angeles,california
Southeastern Idaho Public Health,caribou,idaho
City of Stockbridge Government,henry,georgia
Brevard County Government,brevard,florida
Nevada Department of Health and Human Services,nevada,arkansas
City of Big Rapids,mecosta,michigan
Multnomah County Health Department,multnomah,oregon
City of Carnation,king,washington
The City of Au Gres,arenac,michigan
"City of Meriden, CT",new haven,connecticut
Lyon County Kentucky,lyon,kansas
NYC DOT,queens,new york
City of Encinitas,san diego,california
The City of South Amboy,middlesex,new jersey
"City of Newcastle, Washington - Government",washington,kansas
City of Pottsville,schuylkill,pennsylvania
City of Groveport,franklin,ohio
Butts County Government,butts,georgia
City of Evanston Illinois Government,cook,illinois
City of Oconomowoc,waukesha,wisconsin
"Montgomery County, Ohio",montgomery,north carolina
Carter Lake City Hall,lake,illinois
"City of Denison, Iowa",iowa,wisconsin
City of La Mirada,los angeles,california
"City of Cottage Grove, MN - City Government",washington,minnesota
Decatur County Department of Health,decatur,kansas
City of Glendora - Local Government,los angeles,california
City of Benicia,solano,california
"City of Lake Forest, Illinois",lake,illinois
City of Savannah Government,chatham,georgia
Louisiana Department of Transportation and Development (DOTD),MANUALLY TAG
City of Muskegon Heights,muskegon,michigan
The City of Show Low,navajo,arizona
"City of Newton, NC Government",catawba,north carolina
Beaufort County Government SC,beaufort,south carolina
Ada County,ada,idaho
"City of Brooklyn Center, MN",hennepin,minnesota
City of Cypress City Hall,hall,georgia
"City of Bangor, Michigan",van buren,michigan
City of Terrell Community,terrell,texas
"City of Farmington, Michigan",oakland,michigan
Madison County IA Public Health,madison,tennessee
"Waterloo, IL City Page",page,iowa
City of Kiel,manitowoc,wisconsin
Boone County Health Dept.,boone,kentucky
"City of Verona, Wisconsin",dane,wisconsin
Dorchester County Health Department-Emergency Preparedness,dorchester,maryland
Brazoria County,brazoria,texas
City of Macedonia Ohio,ohio,kentucky
City of West Monroe,monroe,pennsylvania
"City of Auburn, Nebraska",nemaha,nebraska
City Of Marshall,marshall,tennessee
"City of Greenville, Mississippi - Government",mississippi,missouri
Howard County Government,howard,iowa
"City of Des Moines, Washington",washington,kansas
City of Indianapolis - Government,marion,indiana
"City of Hamilton, Texas",texas,missouri
"City of York, NE",york,nebraska
Moroni City,sanpete,nebraska
City of Cohoes,albany,new york
NYC Mayor's Office,queens,new york
City of Belmont,belmont,ohio
Douglas County Happenings,douglas,kansas
City of Quincy,adams,illinois
"City of Thomasville, GA - Government",thomas,georgia
Montgomery County Office of Public Health,montgomery,north carolina
"City of Harrisonville, MO",cass,missouri
City of Countryside,cook,illinois
"The City of Wilder, Kentucky",campbell,kentucky
City of Upland,san bernardino,california
"Nye County, Nevada",nevada,arkansas
Carroll County Public Health,carroll,virginia
San Miguel County Department of Health and Environment,san miguel,colorado
City of Spring Lake Park,lake,illinois
City of Cody,park,wyoming
"City of Sandwich, Illinois",lasalle,illinois
"City of Gardiner, Maine",kennebec,maine
Chaves County,chaves,new mexico
City of Star,ada,idaho
Latah County ID,latah,idaho
City of Puyallup - Government,pierce,washington
City of Worthington Government,nobles,minnesota
"Wayne County Government, North Carolina",wayne,indiana
Dodge County Public Health,dodge,minnesota
Marshall County Health Department-WV,marshall,tennessee
Official - City of Katy,fort bend,texas
City of La Verne - Local Government,los angeles,california
City of Boise,boise,idaho
San Juan Basin Public Health,san juan,washington
Whittier City Hall,hall,georgia
Santaquin City,utah,utah
City of Newberg,preston,west virginia
"City of Portland, Tennessee Government",sumner,tennessee
"City of Westminster, Colorado - Government",colorado,texas
"City of Neenah, Wisconsin Government",winnebago,wisconsin
City of Brandon South Dakota - Municipal Government,dakota,minnesota
City of Harlingen,cameron,texas
Sawyer County Public Health,sawyer,wisconsin
Berrien County Health Department,berrien,michigan
City of Flat Rock,rock,nebraska
"Lowndes County, GA",lowndes,mississippi
Joplin City Government,jasper,missouri
City of Tecumseh,pottawatomie,oklahoma
"Napa County, California - Government",napa,california
SCDOT,santa clara,california
Victoria County Public Health Department,victoria,texas
"City of Middleton, Wisconsin",dane,wisconsin
City of Silvis,rock island,illinois
Stafford County Courthouse,stafford,kansas
"City of Fayetteville, TN",lincoln,tennessee
City of Mount Pleasant Iowa,iowa,wisconsin
City of Gulfport - Mayor's Office,MANUALLY TAG
"Charlotte County, Florida Government",charlotte,virginia
City of Adairsville,bartow,georgia
"Montgomery County, PA",montgomery,north carolina
"City of Mont Belvieu, Texas",texas,missouri
"City of Bridgeport, IL",lawrence,illinois
"City of Collinsville, Illinois (Official)",madison,illinois
"City of Anderson, California",shasta,california
Atascosa County,atascosa,texas
Ogden City Government,weber,utah
City of Hazard - Queen City of the Mountains,perry,kentucky
Washtenaw County Health Department,washtenaw,michigan
Regional Transportation Commission of Southern Nevada,nevada,arkansas
City Of Gravette - Government,benton,arkansas
Kansas Department of Health and Environment,MANUALLY TAG
Kentucky Transportation Cabinet,MANUALLY TAG
"City of Lawrence, Kansas - Municipal Government",douglas,kansas
City of Alice - Government,jim wells,texas
City of Whitehouse Texas,texas,missouri
"City of Fort Atkinson, WI",jefferson,wisconsin
Clay County Public Health Center - Missouri,clay,tennessee
"Emory, Texas",texas,missouri
"City of Apopka- News, Events, & Info",orange,florida
City of Minnetonka - Local Government,hennepin,minnesota
Crawford County Public Health,crawford,pennsylvania
"City of Hilliard, Ohio - Government",ohio,kentucky
Franklin County Public Health,franklin,florida
"The City of Saratoga Springs, NY",saratoga,new york
"City of Maysville, Municipal",mason,kentucky
Miami County Public Health,miami,kansas
City of Port Hueneme - Government,ventura,california
"Montgomery County Health Department - Crawfordsville, Indiana",montgomery,north carolina
Jasper County Georgia,jasper,iowa
City of Whitehall,lehigh,pennsylvania
Calhoun County Health Department,calhoun,alabama
"City Government of Wilson, NC",wilson,north carolina
City of Plainwell - Government,allegan,michigan
"Ventnor City, New Jersey",jersey,illinois
City of Pearland - Government,brazoria,texas
City of Windcrest,bexar,texas
Knox County Health Department,knox,illinois
South Ogden City,weber,utah
"City of Enterprise, Ala.",coffee,alabama
"City of Norwalk, CT",fairfield,connecticut
City of Salina,saline,kansas
Douglas County Health Department,douglas,kansas
"Chatham County, Georgia Government",chatham,north carolina
Ravalli County Public Health,ravalli,montana
City of Youngsville Louisiana,lafeyette,louisiana
"Sussex County, Del., government",sussex,virginia
City of Wanamingo,goodhue,minnesota
City of Primera,cameron,texas
Pittsburg County Health Department,pittsburg,oklahoma
Missoula City-County Health Department,missoula,montana
Tama County Public Health & Home Care,tama,iowa
City of Cocoa Beach - Government,brevard,florida
"City of Melissa, Texas",texas,missouri
Yamhill County Public Health,yamhill,oregon
City of Wood Dale,wood,texas
"Abington, MA Board of Health",plymouth,massachusetts
"City of Eunice, New Mexico",lea,new mexico
"City of Big Sandy, Texas",texas,missouri
"City of Brentwood, Tennessee Local Government",williamson,tennessee
"City of Gretna, Louisiana",jefferson,louisiana
"City of Pineville, La",rapides,louisiana
Platte County,platte,missouri
City of Rushville,rush,indiana
"City of Socorro, Texas",texas,missouri
St. Clair County Health Department,st. clair,missouri
City of Lilburn,gwinnett,georgia
"City of Pueblo, Colorado - City Government",colorado,texas
"City of Spring Hill, KS Government",jefferson,kentucky
City of Fort Wayne Government,wayne,indiana
Colorado Department of Public Health and Environment,colorado,texas
Dawson County Health Department,dawson,georgia
City of Somerville (Official),middlesex,massachusetts
City Of Virginia Government,storey,nevada
"Cherokee County, Georgia",cherokee,georgia
Jasper County Health Department - Iowa,jasper,iowa
"City of Southfield, Michigan USA - Government",oakland,michigan
Iowa Department of Public Health,iowa,wisconsin
CG Public Health,cape girardeau,missouri
"City of Washington, Illinois",tazewell,illinois
"City of Gonzales, Texas",texas,missouri
Harrison County Health Department,harrison,iowa
Brown County Government,brown,wisconsin
City Of Lufkin City Hall,hall,georgia
Public Health Madison & Dane County,dane,wisconsin
"City of Bellevue, Kentucky",campbell,kentukcy
City of Philadelphia Government,philadelphia,pennsylvania
Minnesota Department of Transportation,MANUALLY TAG
City of Newburgh,orange,new york
LaSalle County Health Department,lasalle,illinois
"Office of the Mayor - City of Springfield, Illinois",sangamon,illinois
Lake County Sheriff's Office  Sheriff Frank Leonbruno,lake,illinois
"City of Milan, Michigan Government",monroe,michigan
"City of Pleasant Hill, Missouri Government",clay,missouri
City of Kingston,ulster,new york
"City of Social Circle, Georgia",walton,georgia
Mariposa County Public Health,mariposa,california
Monroe County BOCC,monroe,pennsylvania
Mayor's Office Bristol CT,bristol,rhode island
Rochester Housing Authority,monroe,new york
Chippewa County Public Health,chippewa,wisconsin
York County Government,york,pennsylvania
Pemiscot County,pemiscot,missouri
"City of Norton, Virginia",wise,virginia
City of Pilot Point,denton,texas
Kane County Health Department,kane,illinois
"City of Deltona, Florida",volusia,florida
"Barren County, KY",barren,kentucky
Bartow County Government,bartow,georgia
City of Morrow Georgia,morrow,ohio
Monroe County Health Department Ohio,ohio,kentucky
City of Rancho Cordova Government,sacramento,california
"Bay County, FL",bay,michigan
"City of Charleston, WV",kanawha,wyoming
Virginia Department of Transportation,MANUALLY TAG
City of Rancho Santa Margarita - Local Government,orange,california
City of Highwood,lake,illinois
"City of Troy, Alabama - Government",pike,alabama
"City of Raytown, Mo. Government",jackson,missouri
City of San Diego,san diego,california
"The City of Norwich, CT",new london,connecticut
City of Hialeah - Municipal Government,miami-dade,florida
Weber-Morgan Health Department,weber,utah
Gardner City Hall,hall,georgia
"City of Boca Raton, FL Government",palm beach,florida
City of Gulf Breeze,gulf,florida
"City of West Columbia, SC",lexington,south carolina
City of Chesapeake Government,chesapeake,virginia
"City of Dayton, Kentucky",campbell,kentucky
City of Morrilton,conway,arkansas
Housing Authority of the City of Tulsa,tulsa,oklahoma
City of Hermantown,st. louis county,missouri
"Smyth County, Virginia",smyth,virginia
Kentucky Cabinet for Health and Family Services,MANUALLY TAG
Dutchess County Government,dutchess,new york
"City Of Holland, Michigan - City Hall",hall,georgia
North Carolina Department of Transportation,MANUALLY TAG
"The City of Howell, Michigan",livingston,michigan
"Kelso, Washington - City of Kelso",washington,kansas
"City of Georgetown, KY",scott,kentucky
Rio Blanco County Government,rio blanco,colorado
City of Willits,mendocino,california
Swain County Government,swain,north carolina
Uinta County Public Health,uinta,wyoming
